seed,fold,model,rmse,mae,r2,converged,warnings
20250914,3,mixed_hinge18,0.03454470523781856,0.028834266689680945,-0.15253897882944356,True,
20250914,3,ridge,0.03227960357201406,0.027538731768630857,-0.006349938759957041,True,
20250914,3,random_forest,0.03029353010305665,0.02574654524081259,0.11367620537455891,True,
20250914,4,mixed_linear,0.0369490956660439,0.028194665583657578,0.02465651064457497,True,
20250914,4,mixed_hinge18,0.03679730166409401,0.027951966594540502,0.0326538473723349,True,
20250914,4,ridge,0.03542660419100151,0.027478896471051062,0.10337878055679983,True,
20250914,4,random_forest,0.03553672038376615,0.026741180789666277,0.09779619865339073,True,
20250915,0,mixed_linear,0.034269895998563504,0.027599884178976467,0.06300271079430186,True,
20250915,0,mixed_hinge18,0.03422097169541738,0.02747945836798468,0.0656761485572126,True,
20250915,0,ridge,0.034856628403888555,0.028498815786360092,0.030643527038183294,True,
20250915,0,random_forest,0.034070438709978834,0.027486002893305626,0.07387797393400497,True,
20250915,1,mixed_linear,0.03766430992977767,0.029216411586615875,0.0375800551303862,True,
20250915,1,mixed_hinge18,0.03760989380302075,0.029117531691329426,0.0403589900830027,True,
20250915,1,ridge,0.03713317362814949,0.029230402488512715,0.06453246218311803,True,
20250915,1,random_forest,0.03659026210423231,0.027420900700059803,0.09168679967777016,True,
20250915,2,mixed_linear,0.030023756637751853,0.025047772870405532,-0.10288326127453362,True,
20250915,2,mixed_hinge18,0.030166943894579912,0.025040177977631008,-0.11342793751600144,True,
20250915,2,ridge,0.028849284519129437,0.02439722141315793,-0.0182855400617008,True,
20250915,2,random_forest,0.026395047879281625,0.02172667756432642,0.14759813495024943,True,
20250915,3,mixed_linear,0.03631311509151326,0.029622796057605528,-0.29320869614922085,True,
20250915,3,mixed_hinge18,0.03646648949507783,0.029787014672536288,-0.30415592463838315,True,
20250915,3,ridge,0.03337134521508797,0.026866306407504918,-0.09216695286496757,True,
20250915,3,random_forest,0.030737744797034446,0.024571168090253347,0.07341427508086884,True,
20250915,4,mixed_linear,0.031414834577954874,0.026184136048338445,-0.14750167603556896,True,
20250915,4,mixed_hinge18,0.031844375779368016,0.026459965534292532,-0.17909624015265435,True,
20250915,4,ridge,0.028915505987354543,0.023364842901514585,0.02782294479878522,True,
20250915,4,random_forest,0.027250676937932962,0.022275469291134702,0.13654767270312662,True,
20250916,0,mixed_linear,0.03415906631226206,0.02797350527312377,-0.07219566739324557,True,
20250916,0,mixed_hinge18,0.0342529090739814,0.027949100527969988,-0.07809489260389935,True,
20250916,0,ridge,0.0319602766740165,0.025990754642811358,0.061394433032099904,True,
20250916,0,random_forest,0.031233746360457174,0.025086930786379608,0.10358271196552904,True,
20250916,1,mixed_linear,0.03269368926394025,0.027226870632267513,-0.05323083231501924,True,
20250916,1,mixed_hinge18,0.03299120001431281,0.02734775861962915,-0.07248673305284603,True,
20250916,1,ridge,0.032126901845315844,0.028069075939258278,-0.017029138450836978,True,
20250916,1,random_forest,0.029158596789535546,0.024664483018929508,0.16222201493645327,True,
20250916,2,mixed_linear,0.03210867879967636,0.02488009676809448,-0.11545800759975622,True,
20250916,2,mixed_hinge18,0.03211527875496638,0.024997554179891295,-0.11591662065279618,True,
20250916,2,ridge,0.0314444025130235,0.023482672322471358,-0.0697814132739294,True,
20250916,2,random_forest,0.028873937763073648,0.02148702728126312,0.09797123679403763,True,
20250916,3,mixed_linear,0.036581701053710766,0.02896919009169946,0.054291118940558825,True,
20250916,3,mixed_hinge18,0.0367701213229051,0.02907933711629148,0.044523961175700455,True,
20250916,3,ridge,0.036288146195582405,0.029376765851916332,0.06940816046249354,True,
20250916,3,random_forest,0.0358747571813998,0.02817265613824584,0.09048971362615144,True,
20250916,4,mixed_linear,0.03355637904509571,0.027777424653787814,-0.057696673198193826,True,
20250916,4,mixed_hinge18,0.03348802004817818,0.027678434693400603,-0.05339171301029877,True,
20250916,4,ridge,0.031089115260818756,0.0253055778420132,0.09212160447468032,True,
