target,variant,seed,scope,mode,precision_w,recall_w,specificity_w,f1_w,accuracy_w,precision_raw,recall_raw,n,positive,predicted_positive,coverage_w,retest_rate_w,qc_fail_rate_w,negative_clear_rate_w,positive_call_rate_w,positive_precision_w,positive_recall_all_w,negative_npv_w,false_negative_clear_rate_w,followup_recall_w,followup_precision_w,negative_specific_clear_w,retest_records,negative_records,positive_call_records
T18,unweighted,20460830,qc_pass,high,0.2142857142857143,0.0219941348973606,0.993191384005942,0.0398936170212765,0.9175799086757986,0.25,0.025,505.0,40.0,4.0,,,,,,,,,,,,,,,
T18,unweighted,20460830,overall,three_way,,,,,,,,,,,0.8380682431702842,0.161931756829716,0.1575585789871504,0.8312655220818488,0.0068027210884353,0.25,0.0216763005780346,0.9191190320003636,0.856936416184971,0.1430635838150289,0.0665216139250632,0.8290799587551556,103.0,498.0,4.0
T21,unweighted,20460830,overall_qcfail_negative,low,0.1395348837209302,0.1428571428571428,0.978513356562137,0.1411764705882352,0.9586167800453512,0.1818181818181818,0.1538461538461538,605.0,13.0,11.0,,,,,,,,,,,,,,,
T21,unweighted,20460830,overall_qcfail_negative,high,0.0,0.0,0.986062717770035,0.0,0.9625850340136054,0.0,0.0,605.0,13.0,5.0,,,,,,,,,,,,,,,
T21,unweighted,20460830,qc_pass,low,0.1304347826086956,0.1463414634146341,0.9766218585622444,0.1379310344827586,0.9571917808219178,0.1818181818181818,0.1818181818181818,499.0,11.0,11.0,,,,,,,,,,,,,,,
T21,unweighted,20460830,qc_pass,high,0.0,0.0,0.9853886616014028,0.0,0.9623287671232876,0.0,0.0,499.0,11.0,5.0,,,,,,,,,,,,,,,
T21,unweighted,20460830,overall,three_way,,,,,,,,,,,0.8223733938019655,0.1776266061980348,0.1668556311413454,0.8087679516250946,0.0136054421768707,0.0,0.0,0.9796728971962616,0.6904761904761904,0.3095238095238095,0.0385375494071146,0.8116531165311652,112.0,488.0,5.0
ANY,unweighted,20460830,overall_qcfail_negative,low,0.3713163064833005,0.133399209486166,0.9707259953161592,0.1962820645965313,0.8746517654680913,0.2857142857142857,0.0895522388059701,605.0,67.0,21.0,,,,,,,,,,,,,,,
ANY,unweighted,20460830,overall_qcfail_negative,high,0.3913043478260869,0.0889328063241106,0.9820696721311476,0.144927536231884,0.8795918367346931,0.25,0.044776119402985,605.0,67.0,12.0,,,,,,,,,,,,,,,
ANY,unweighted,20460830,qc_pass,low,0.3544303797468355,0.1455301455301456,0.9672993075147476,0.206337509211496,0.8770547945205485,0.3,0.1111111111111111,490.0,54.0,20.0,,,,,,,,,,,,,,,
