target,variant,seed,outer_fold,best_c,candidate_objectives,outer_train_records,outer_test_records,outer_train_women,outer_test_women,outer_train_qc_pass,outer_test_qc_pass
T21,group_class_weighted,20460830,2,0.3,"{""0.03"": 0.16702949859619415, ""0.1"": 0.1681091529308305, ""0.3"": 0.16841754757501506, ""1.0"": 0.16088658953874319, ""3.0"": 0.1526504031683406, ""10.0"": 0.1438900624392762}",454,151,110,37,380,128
T21,group_class_weighted,20460830,3,10.0,"{""0.03"": 0.20663411593764425, ""0.1"": 0.2071174633312456, ""0.3"": 0.2092532103830239, ""1.0"": 0.21476414628661605, ""3.0"": 0.22355893197841542, ""10.0"": 0.2336756759666811}",455,150,110,37,379,131
T13,unweighted,20560833,0,3.0,"{""0.03"": 0.2359150715323771, ""0.1"": 0.2440113894760252, ""0.3"": 0.2473247006911688, ""1.0"": 0.24922231662714595, ""3.0"": 0.24978537755800284, ""10.0"": 0.24959025361020598}",455,150,110,37,379,111
T13,unweighted,20560833,1,0.03,"{""0.03"": 0.1848625136769559, ""0.1"": 0.1731534761696028, ""0.3"": 0.17110390354655414, ""1.0"": 0.1639425048726651, ""3.0"": 0.162995033009929, ""10.0"": 0.1610614691870538}",453,152,111,36,378,137
T13,unweighted,20560833,2,0.03,"{""0.03"": 0.23319099564580226, ""0.1"": 0.22845573669289593, ""0.3"": 0.22828078766917487, ""1.0"": 0.22730676776955272, ""3.0"": 0.22684240141541, ""10.0"": 0.22568631737068245}",454,151,111,36,377,126
T13,unweighted,20560833,3,0.03,"{""0.03"": 0.3582562937543587, ""0.1"": 0.34807423025186723, ""0.3"": 0.3356709335872175, ""1.0"": 0.33085014537508106, ""3.0"": 0.32678015796686305, ""10.0"": 0.323620755219834}",453,152,109,38,377,131
T18,unweighted,20560833,0,10.0,"{""0.03"": 0.26528313425896033, ""0.1"": 0.28848213295581193, ""0.3"": 0.2941202890524377, ""1.0"": 0.29846025901242584, ""3.0"": 0.3027277697714726, ""10.0"": 0.30315387277949707}",452,153,111,36,376,118
T18,unweighted,20560833,1,0.03,"{""0.03"": 0.2760718238367351, ""0.1"": 0.267907013014418, ""0.3"": 0.26192528370967494, ""1.0"": 0.26006309794310895, ""3.0"": 0.2562164568501129, ""10.0"": 0.25119485789682783}",456,149,108,39,381,127
T18,unweighted,20560833,2,3.0,"{""0.03"": 0.2709495374948258, ""0.1"": 0.28951303184588995, ""0.3"": 0.2947165221060454, ""1.0"": 0.29904243031934985, ""3.0"": 0.2992658509434742, ""10.0"": 0.29179496917757336}",451,154,110,37,376,135
T18,unweighted,20560833,3,3.0,"{""0.03"": 0.2236874315743016, ""0.1"": 0.23885481479569268, ""0.3"": 0.2508320954147841, ""1.0"": 0.25556739158585284, ""3.0"": 0.2557856166309862, ""10.0"": 0.254939451857904}",456,149,112,35,381,120
T21,unweighted,20560833,0,0.03,"{""0.03"": 0.33840656275279524, ""0.1"": 0.32519163347524516, ""0.3"": 0.3178561410482644, ""1.0"": 0.3181782562040133, ""3.0"": 0.3169083997647978, ""10.0"": 0.32102642046843777}",455,150,111,36,375,115
T21,unweighted,20560833,1,0.3,"{""0.03"": 0.2266939740406953, ""0.1"": 0.23767541158310068, ""0.3"": 0.24054020905172716, ""1.0"": 0.23571244881641956, ""3.0"": 0.23053898010268364, ""10.0"": 0.225026323494784}",455,150,111,36,383,127
T21,unweighted,20560833,2,1.0,"{""0.03"": 0.14727368411527655, ""0.1"": 0.15018085197299785, ""0.3"": 0.15110504861563473, ""1.0"": 0.15132692093210198, ""3.0"": 0.14858767720859403, ""10.0"": 0.14411497431223524}",451,154,109,38,376,136
T21,unweighted,20560833,3,3.0,"{""0.03"": 0.2017020342182932, ""0.1"": 0.20300245630768302, ""0.3"": 0.20314001189236106, ""1.0"": 0.2015273500084889, ""3.0"": 0.20393478086101346, ""10.0"": 0.20326704971222107}",454,151,110,37,379,122
T13,group_class_weighted,20560833,0,0.03,"{""0.03"": 0.2250264927025734, ""0.1"": 0.22172427061577824, ""0.3"": 0.22016797403915003, ""1.0"": 0.21908395043064677, ""3.0"": 0.21703166202636479, ""10.0"": 0.21893597204006146}",455,150,110,37,379,111
T13,group_class_weighted,20560833,1,0.03,"{""0.03"": 0.1427626964370114, ""0.1"": 0.13709406360361542, ""0.3"": 0.13716718190047816, ""1.0"": 0.13764492126265598, ""3.0"": 0.13768052342908021, ""10.0"": 0.13731168118043013}",453,152,111,36,378,137
T13,group_class_weighted,20560833,2,0.1,"{""0.03"": 0.2443351267139084, ""0.1"": 0.2443988769006965, ""0.3"": 0.24367496909531422, ""1.0"": 0.24147103106746154, ""3.0"": 0.24027310935747312, ""10.0"": 0.2396989014390618}",454,151,111,36,377,126
T13,group_class_weighted,20560833,3,0.03,"{""0.03"": 0.4679976967983065, ""0.1"": 0.46500379305468387, ""0.3"": 0.46736983437921253, ""1.0"": 0.46197471226066544, ""3.0"": 0.4070946029452449, ""10.0"": 0.40337457479638833}",453,152,109,38,377,131
T18,group_class_weighted,20560833,0,10.0,"{""0.03"": 0.3204220236532024, ""0.1"": 0.3373988342221484, ""0.3"": 0.35101165598086737, ""1.0"": 0.36451818940195824, ""3.0"": 0.381766757908342, ""10.0"": 0.3825811536839579}",452,153,111,36,376,118
T18,group_class_weighted,20560833,1,0.03,"{""0.03"": 0.2662036224910711, ""0.1"": 0.2631305039298011, ""0.3"": 0.2613939412545988, ""1.0"": 0.2537263148150503, ""3.0"": 0.24725028100325447, ""10.0"": 0.24405774995858903}",456,149,108,39,381,127
T18,group_class_weighted,20560833,2,0.3,"{""0.03"": 0.29682046981550547, ""0.1"": 0.31896609304678225, ""0.3"": 0.33234830866177295, ""1.0"": 0.3294265342863454, ""3.0"": 0.32368469425061064, ""10.0"": 0.3160311513186691}",451,154,110,37,376,135
T18,group_class_weighted,20560833,3,0.3,"{""0.03"": 0.27646060538292816, ""0.1"": 0.29501597126319357, ""0.3"": 0.2967482631271824, ""1.0"": 0.2960440921431879, ""3.0"": 0.2948306973445284, ""10.0"": 0.29255950178483786}",456,149,112,35,381,120
T21,group_class_weighted,20560833,0,0.03,"{""0.03"": 0.3507716091042461, ""0.1"": 0.3347845712588971, ""0.3"": 0.3330502577318267, ""1.0"": 0.3180181325892406, ""3.0"": 0.31022049181967587, ""10.0"": 0.31353245756897286}",455,150,111,36,375,115
T21,group_class_weighted,20560833,1,0.03,"{""0.03"": 0.1883292362165154, ""0.1"": 0.18252255251409, ""0.3"": 0.17697332224093393, ""1.0"": 0.17098148621637305, ""3.0"": 0.1652079280213734, ""10.0"": 0.161517820054995}",455,150,111,36,383,127
T21,group_class_weighted,20560833,2,0.3,"{""0.03"": 0.1672976316075447, ""0.1"": 0.16653312448683888, ""0.3"": 0.16848031404300567, ""1.0"": 0.16712518082316036, ""3.0"": 0.16440871060114798, ""10.0"": 0.158546112346908}",451,154,109,38,376,136
T21,group_class_weighted,20560833,3,10.0,"{""0.03"": 0.19032524041434665, ""0.1"": 0.18926209908558614, ""0.3"": 0.18828667293334753, ""1.0"": 0.1898592019203537, ""3.0"": 0.19273669143804434, ""10.0"": 0.19415398487584107}",454,151,110,37,379,122
T13,unweighted,20660836,0,0.1,"{""0.03"": 0.22228915398776505, ""0.1"": 0.22442871340078685, ""0.3"": 0.22014891684990925, ""1.0"": 0.21701811934408835, ""3.0"": 0.21703629029361313, ""10.0"": 0.20127642781348437}",451,154,111,36,372,119
T13,unweighted,20660836,1,10.0,"{""0.03"": 0.2152539014700086, ""0.1"": 0.22065375880468602, ""0.3"": 0.2272344085744226, ""1.0"": 0.23236253715182234, ""3.0"": 0.23419551233560734, ""10.0"": 0.23601204647556723}",456,149,109,38,385,124
T13,unweighted,20660836,2,0.03,"{""0.03"": 0.29103288757408596, ""0.1"": 0.2754146663407202, ""0.3"": 0.2600126735351487, ""1.0"": 0.24616604931190272, ""3.0"": 0.24427712836541443, ""10.0"": 0.23393894317076946}",457,148,111,36,378,129
T13,unweighted,20660836,3,0.3,"{""0.03"": 0.19579072974632514, ""0.1"": 0.19805515164843968, ""0.3"": 0.19856929866702355, ""1.0"": 0.1958325280441836, ""3.0"": 0.19391983882431346, ""10.0"": 0.1949297440063319}",451,154,110,37,375,128
